SeriesID,SeriesCode,Series,Unit,Database,Year,AreaName,AreaCode,DisaggregationGroup,Disaggregation1,Disaggregation2,Value,Notes,Source,LastModifiedOn
8916,HHA422-%_HH-URBAN-,HH04 - Households with a computer - %_HH - URBAN,% of households,ITU Households Database,2019,Mongolia,MNG,Location,Urban,,39.26179586306384,,,2026-07-05
8908,HHA422-%_HH-CHILDREN-URBAN,HH04 - Households with a computer - %_HH - CHILDREN - URBAN,% of households,ITU Households Database,2019,Mongolia,MNG,Location,Children,Urban,40.60696828504286,,,2026-07-05
8917,HHA422-%_HH--,HH04 - Households with a computer - %_HH,% of households,ITU Households Database,2019,Morocco,MAR,,,,64.20624416641819,,Agence Nationale de Réglementation des Télécommunications,2026-07-06
8917,HHA422-%_HH--,HH04 - Households with a computer - %_HH,% of households,ITU Households Database,2019,Pakistan,PAK,,,,14.305299466981488,Households with Computer/Laptop/Tablet,Pakistan Bureau of Statistics,2026-07-06
8917,HHA422-%_HH--,HH04 - Households with a computer - %_HH,% of households,ITU Households Database,2019,Philippines,PHL,,,,23.78968158842787,,"Office of the National Statistician, Philippine Statistics Authority",2026-07-06
8917,HHA422-%_HH--,HH04 - Households with a computer - %_HH,% of households,ITU Households Database,2019,Panama,PAN,,,,37.253172182622976,,Instituto Nacional de Estadística y Censo,2026-07-05
8917,HHA422-%_HH--,HH04 - Households with a computer - %_HH,% of households,ITU Households Database,2019,Poland,POL,,,,83.12502819443995,"Respondents are asked whether they have access to a computer, question in not split by the type of computer",Statistics Poland,2026-07-05
8915,HHA422-%_HH-RURAL-,HH04 - Households with a computer - %_HH - RURAL,% of households,ITU Households Database,2019,Poland,POL,Location,Rural,,81.05701852142185,,Statistics Poland,2026-07-06
8916,HHA422-%_HH-URBAN-,HH04 - Households with a computer - %_HH - URBAN,% of households,ITU Households Database,2019,Poland,POL,Location,Urban,,84.1401559267558,,Statistics Poland,2024-07-08
8906,HHA422-%_HH-CHILDREN-,HH04 - Households with a computer - %_HH - CHILDREN,% of households,ITU Households Database,2019,Poland,POL,Family,Children,,97.35280071756472,,Statistics Poland,2026-07-06
8912,HHA422-%_HH-NOCHILDREN-,HH04 - Households with a computer - %_HH - NOCHILDREN,% of households,ITU Households Database,2019,Poland,POL,Family,No Children,,75.99390447033245,,Statistics Poland,2026-07-06
8912,HHA422-%_HH-NOCHILDREN-,HH04 - Households with a computer - %_HH - NOCHILDREN,% of households,ITU Households Database,2019,Paraguay,PRY,Family,No Children,,28.468130289412386,,"Dirección General de Estadística, Encuestas y Censos (DGEEC)",2026-07-05
8907,HHA422-%_HH-CHILDREN-RURAL,HH04 - Households with a computer - %_HH - CHILDREN - RURAL,% of households,ITU Households Database,2019,Paraguay,PRY,Location,Children,Rural,11.093507363235734,,"Dirección General de Estadística, Encuestas y Censos (DGEEC)",2026-07-06
8914,HHA422-%_HH-NOCHILDREN-URBAN,HH04 - Households with a computer - %_HH - NOCHILDREN - URBAN,% of households,ITU Households Database,2019,Paraguay,PRY,Location,No Children,Urban,37.74627592812789,,"Dirección General de Estadística, Encuestas y Censos (DGEEC)",2026-07-05
8906,HHA422-%_HH-CHILDREN-,HH04 - Households with a computer - %_HH - CHILDREN,% of households,ITU Households Database,2019,Paraguay,PRY,Family,Children,,24.777681909692266,,"Dirección General de Estadística, Encuestas y Censos (DGEEC)",2026-07-06
8915,HHA422-%_HH-RURAL-,HH04 - Households with a computer - %_HH - RURAL,% of households,ITU Households Database,2019,Paraguay,PRY,Location,Rural,,10.857302542118969,,"Dirección General de Estadística, Encuestas y Censos (DGEEC)",2026-07-06
8917,HHA422-%_HH--,HH04 - Households with a computer - %_HH,% of households,ITU Households Database,2019,Paraguay,PRY,,,,26.230466109061407,,"Direccion General de Estadistica, Encuestas y Censos",2026-07-06
8916,HHA422-%_HH-URBAN-,HH04 - Households with a computer - %_HH - URBAN,% of households,ITU Households Database,2019,Paraguay,PRY,Location,Urban,,35.35640381030561,,"Dirección General de Estadística, Encuestas y Censos (DGEEC)",2026-07-05
8913,HHA422-%_HH-NOCHILDREN-RURAL,HH04 - Households with a computer - %_HH - NOCHILDREN - RURAL,% of households,ITU Households Database,2019,Paraguay,PRY,Location,No Children,Rural,10.435598993753084,,"Dirección General de Estadística, Encuestas y Censos (DGEEC)",2026-07-04
8908,HHA422-%_HH-CHILDREN-URBAN,HH04 - Households with a computer - %_HH - CHILDREN - URBAN,% of households,ITU Households Database,2019,Paraguay,PRY,Location,Children,Urban,33.66645062214982,,"Dirección General de Estadística, Encuestas y Censos (DGEEC)",2026-07-05
8912,HHA422-%_HH-NOCHILDREN-,HH04 - Households with a computer - %_HH - NOCHILDREN,% of households,ITU Households Database,2019,Peru,PER,Family,No Children,,32.082142126533476,,Instituto Nacional de Estadística e Informática - INEI,2026-07-05
8913,HHA422-%_HH-NOCHILDREN-RURAL,HH04 - Households with a computer - %_HH - NOCHILDREN - RURAL,% of households,ITU Households Database,2019,Peru,PER,Location,No Children,Rural,5.554109626234202,,Instituto Nacional de Estadística e Informática - INEI,2026-07-05
8907,HHA422-%_HH-CHILDREN-RURAL,HH04 - Households with a computer - %_HH - CHILDREN - RURAL,% of households,ITU Households Database,2019,Peru,PER,Location,Children,Rural,7.289662773079224,,Instituto Nacional de Estadística e Informática - INEI,2026-07-06
